"iso","adm1","umd_tree_cover_extent_2000__ha","area__ha"
"KEN",1,113989.00089447497622448,1084248.27282583298185189
"KEN",2,120633.52045464717531305,237844.05806366166546382
"KEN",3,71112.04145375175234417,357315.22774328637070113
"KEN",4,22038.53196215454566263,179954.56313700281553583
"KEN",5,107098.33432567630056854,280407.00561882488174143
"KEN",6,33624.88951011331385096,283361.30297797279813630
"KEN",7,239156.24973291273559251,4385032.54529198543083826
"KEN",8,50462.39493499105904597,467865.71325651017536913
"KEN",9,117.16193143017312995,2543931.86339608854970287
"KEN",10,19468.30495616544643439,2199366.43347038929213477
"KEN",11,35907.5270855794453812,244226.655478440274763
"KEN",12,141228.87256344724969200,257625.39743245755325300
"KEN",13,67618.90721019293290606,257373.96813337083496232
"KEN",14,160173.74212847120280092,1265188.29787304264966924
"KEN",15,43859.70680794469443541,148434.64183270448032174
"KEN",16,48734.48623672570454347,131493.89691872889430747
"KEN",17,26030.8457408775878869,266480.2518813747830007
"KEN",18,32854.98029318424388293,3045765.27418039998465368
"KEN",19,88915.39384116707471357,837986.60882268206632692
"KEN",20,46229.08217882526463686,952427.92663017922805956
"KEN",21,244950.92062732399244449,671992.57892557230254002
"KEN",22,7795.08972566958420190,603426.44333090258843866
"KEN",23,29164.49006012022155143,817483.32154583701119145
"KEN",24,0.46041078110243056,2577221.826684130464553
"KEN",25,8613.86667136559291454,7577533.0911786626093627
"KEN",26,120911.46448655011224445,698496.36884066186667199
"KEN",27,14724.76306122003174595,320040.37634146620841674
"KEN",28,3811.23477830927978875,26731.63818775068352458
"KEN",29,83217.72369727943689507,252604.87004159101829312
"KEN",30,5242.30263705064477603,71229.98454062515291240
"KEN",31,123400.84856513739737162,747548.35629262134611326
"KEN",32,110191.90757428056115609,283045.81087718512960004
"KEN",33,334631.39762520871778322,1801516.12326123171839161
"KEN",34,45411.95160202333745,89718.6050562691027
"KEN",35,86038.88912841096098996,326656.46782396746103996
"KEN",36,172306.75310158503742066,333451.47332344487758570
"KEN",37,84134.4045143820960013,2095976.3895793424591358
"KEN",38,35124.30651130187443443,349845.06375794773931160
"KEN",39,28346.10138578349350009,1716749.43150634652004570
"KEN",40,60104.75724482546660884,3921748.79274823813624304
"KEN",41,46119.24157034279899125,256931.43618915318280351
"KEN",42,51438.97372285841712052,246585.42593894807098548
"KEN",43,6307.67341056506266922,6372073.83132238460645476
"KEN",44,35967.26177070501796708,342854.4191802205326330
"KEN",45,12042.24662940170556837,55826.56372629455292573
"KEN",46,32.17948459131383,5663659.68484572860789054
"KEN",47,100197.77424835569614202,951057.43895406953035976
