"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KEN",2001,19027.21104888777105227,9013055.654368118078000
"KEN",2002,20287.52621999557963068,10190073.458459802325962
"KEN",2003,13552.81075698624917524,6327051.4534468336762756
"KEN",2004,16988.32829575934035232,7647777.652234394277706
"KEN",2005,12745.43286096407010031,5505648.606888317863700
"KEN",2006,20656.43878293180398212,9813978.951840041222875
"KEN",2007,26102.96008148190045797,12968641.091578841759921
"KEN",2008,19224.20869253073381457,8753996.833410437572202
"KEN",2009,17696.12608754601640609,7382233.304881551105966
"KEN",2010,22693.01006182510150976,10918052.311181302245874
"KEN",2011,17299.75726552112842918,8453350.610459696050739
"KEN",2012,17899.13670322951652752,9251123.914281546766718
"KEN",2013,13563.76620289596512583,6649280.376061919353004
"KEN",2014,15356.83931634387735401,7558237.952701266306397
"KEN",2015,15615.50086081743727773,8423259.764880050382282
"KEN",2016,19048.30696109286001795,10445711.920922630645344
"KEN",2017,22163.38814600409123587,12553132.494684077758123
"KEN",2018,15908.41523844701044687,8251595.510050762778743
"KEN",2019,15950.24492483327115589,7280820.687300985565094
"KEN",2020,19044.83437006672276569,9419202.836475642883490
"KEN",2021,7564.22660659574375896,3757969.180077458357962
"KEN",2022,6639.03107162361583615,3695346.468080727674767
