"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KEN",2001,2390.69343360198920858,1378695.50659904856061
"KEN",2002,2973.73250469192332616,1704979.496874181678997
"KEN",2003,1568.12530771648068284,974203.563050016403310
"KEN",2004,2973.69219999076880005,1698228.361164255725388
"KEN",2005,1703.29024011286575361,986610.34707109993045
"KEN",2006,3339.87226300008530252,1924629.74547122379274
"KEN",2007,3439.51721560195882278,2027687.411134273009018
"KEN",2008,1886.88173392593193382,1084576.53205557026686
"KEN",2009,1596.45395610110512094,885408.24358946497667
"KEN",2010,6749.35029298937260439,3769289.968281745008761
"KEN",2011,1410.47986761394737260,799640.274257606331976
"KEN",2012,1663.76033128026351244,951736.957886669017590
"KEN",2013,1622.94389921876364964,698099.365539405352484
"KEN",2014,1210.22162241462746869,503172.092478865586382
"KEN",2015,3054.83016808401571232,1225670.913682964783844
"KEN",2016,2052.22181278524248019,884815.358932127201773
"KEN",2017,3133.96253509652112176,1502707.13524285390580
"KEN",2018,2649.48825023885724975,1172204.681086469044787
"KEN",2019,2798.11295245687796958,1251274.325728987825944
"KEN",2020,3545.29473468118911894,1470843.232168956735966
"KEN",2021,445.48894710637696272,161128.055888194164867
"KEN",2022,867.24560969318675661,332190.30793423695067
